計測開始: 2025/10/20 22:25:50
移動距離: 9.809031 時間: 0.568243
移動距離: 4.824084 時間: 0.6343746
移動距離: 12.46251 時間: 0.6683741
移動距離: 10.32744 時間: 0.9369993
移動距離: 3.006412 時間: 0.3865719
移動距離: 9.348392 時間: 0.6653538
移動距離: 8.660713 時間: 0.6306095
移動距離: 5.346642 時間: 0.5925064
移動距離: 1.149426 時間: 0.4201698
移動距離: 7.260355 時間: 0.5044212
移動距離: 4.526936 時間: 0.4975986
移動距離: 5.256294 時間: 0.4454536
移動距離: 1.922609 時間: 0.4681072
移動距離: 6.546541 時間: 0.5364895
移動距離: 2.29054 時間: 0.5298157
移動距離: 7.536644 時間: 0.4852104
移動距離: 2.980227 時間: 0.438343
移動距離: 5.007591 時間: 0.5974236
移動距離: 12.9006 時間: 0.6051006
移動距離: 6.163153 時間: 0.5398655
移動距離: 7.471314 時間: 0.5746346
移動距離: 2.722824 時間: 0.4440193
移動距離: 5.030883 時間: 0.427887
移動距離: 4.446778 時間: 0.4061909
移動距離: 5.932505 時間: 0.896471
移動距離: 6.020462 時間: 0.4406109
移動距離: 6.829559 時間: 0.6230564
移動距離: 6.394201 時間: 0.5642624
移動距離: 3.8113 時間: 0.4734097
移動距離: 7.535722 時間: 0.7436638
移動距離: 0.3145244 時間: 0.4426231
移動距離: 4.941747 時間: 0.4239712
移動距離: 8.133627 時間: 0.5593605
移動距離: 13.35057 時間: 0.5606155
移動距離: 12.70345 時間: 0.5612106
移動距離: 7.644486 時間: 0.5554733
移動距離: 3.728937 時間: 0.4303513
移動距離: 4.462374 時間: 0.4086189
移動距離: 6.398262 時間: 0.7160873
移動距離: 10.83573 時間: 0.6631546
移動距離: 13.44138 時間: 0.5487099
移動距離: 7.073296 時間: 0.4750404
移動距離: 9.433428 時間: 0.578125
移動距離: 9.951702 時間: 0.4485931
移動距離: 3.916921 時間: 0.4241714
移動距離: 5.430485 時間: 0.5418167
移動距離: 6.369806 時間: 0.4609871
移動距離: 9.649528 時間: 0.5485954
移動距離: 9.469034 時間: 0.5543213
移動距離: 7.048735 時間: 0.5855827
移動距離: 5.763733 時間: 0.4752197
移動距離: 5.476557 時間: 0.4431801
移動距離: 5.566216 時間: 0.4923096
移動距離: 7.953868 時間: 0.4698334
移動距離: 1.149067 時間: 0.4451256
移動距離: 1.401551 時間: 0.435154
移動距離: 7.33813 時間: 0.5249939
移動距離: 0.4224443 時間: 0.4077301
移動距離: 11.55242 時間: 0.6568222
移動距離: 5.437685 時間: 0.470768
移動距離: 6.603408 時間: 0.5185699
移動距離: 4.735091 時間: 0.6496315
移動距離: 8.377141 時間: 0.4880943
移動距離: 5.731955 時間: 0.7728119
移動距離: 3.512117 時間: 0.7148094
移動距離: 5.595994 時間: 0.48386
移動距離: 9.211936 時間: 0.4589195
移動距離: 9.126961 時間: 0.5787544
移動距離: 2.493126 時間: 0.4235992
移動距離: 8.325623 時間: 0.4838905
移動距離: 2.925117 時間: 0.4238663
移動距離: 5.14541 時間: 0.9037056
移動距離: 1.001796 時間: 0.4689026
移動距離: 5.741535 時間: 0.4320259
移動距離: 5.353978 時間: 0.4341736
移動距離: 7.116226 時間: 0.4901619
移動距離: 4.582864 時間: 0.5861702
移動距離: 7.096159 時間: 0.5176735
移動距離: 11.41713 時間: 0.62043
移動距離: 8.325229 時間: 1.162899
移動距離: 1.647759 時間: 0.6170731
移動距離: 4.513113 時間: 0.6056671
移動距離: 8.027761 時間: 0.5203018
移動距離: 2.65075 時間: 0.6918373
